system,subset,step,lambda,repeat_index,repeat_number,r_val_raw,path
tfim,early5,1100,1e-07,12,13,0.016310903626073656,<raw-result-omitted>
tfim,early5,1100,1e-07,13,14,0.016632681875431397,<raw-result-omitted>
tfim,early5,1100,1e-07,14,15,0.016949598024021476,<raw-result-omitted>
tfim,early5,1100,1e-07,15,16,0.01624429921224607,<raw-result-omitted>
tfim,early5,1100,1e-07,16,17,0.016441745090041184,<raw-result-omitted>
tfim,early5,1100,1e-07,17,18,0.01696248473785973,<raw-result-omitted>
tfim,early5,1100,1e-07,18,19,0.016823625746193997,<raw-result-omitted>
tfim,early5,1100,1e-07,19,20,0.01713180523289567,<raw-result-omitted>
tfim,early5,1100,1e-06,0,1,0.015371056986504619,<raw-result-omitted>
tfim,early5,1100,1e-06,1,2,0.01524653281641487,<raw-result-omitted>
tfim,early5,1100,1e-06,2,3,0.014203234089899236,<raw-result-omitted>
tfim,early5,1100,1e-06,3,4,0.014634891644299403,<raw-result-omitted>
tfim,early5,1100,1e-06,4,5,0.014308702547220817,<raw-result-omitted>
tfim,early5,1100,1e-06,5,6,0.014949848276905153,<raw-result-omitted>
tfim,early5,1100,1e-06,6,7,0.01445838664102457,<raw-result-omitted>
tfim,early5,1100,1e-06,7,8,0.014381682271935797,<raw-result-omitted>
tfim,early5,1100,1e-06,8,9,0.014485079422546517,<raw-result-omitted>
tfim,early5,1100,1e-06,9,10,0.015009630081231245,<raw-result-omitted>
tfim,early5,1100,1e-06,10,11,0.01473355478833075,<raw-result-omitted>
tfim,early5,1100,1e-06,11,12,0.014824996993665514,<raw-result-omitted>
tfim,early5,1100,1e-06,12,13,0.014082588198189715,<raw-result-omitted>
tfim,early5,1100,1e-06,13,14,0.014579933586306375,<raw-result-omitted>
tfim,early5,1100,1e-06,14,15,0.014671374783428684,<raw-result-omitted>
tfim,early5,1100,1e-06,15,16,0.014271071519593649,<raw-result-omitted>
tfim,early5,1100,1e-06,16,17,0.014125062375580446,<raw-result-omitted>
tfim,early5,1100,1e-06,17,18,0.014692991598580979,<raw-result-omitted>
tfim,early5,1100,1e-06,18,19,0.014264068240851442,<raw-result-omitted>
tfim,early5,1100,1e-06,19,20,0.014775673267838005,<raw-result-omitted>
tfim,early5,1100,1e-05,0,1,0.015789071523128716,<raw-result-omitted>
tfim,early5,1100,1e-05,1,2,0.016215101083970146,<raw-result-omitted>
tfim,early5,1100,1e-05,2,3,0.014882963384586289,<raw-result-omitted>
tfim,early5,1100,1e-05,3,4,0.014619125657208831,<raw-result-omitted>
tfim,early5,1100,1e-05,4,5,0.015085333392738301,<raw-result-omitted>
tfim,early5,1100,1e-05,5,6,0.015405114410061689,<raw-result-omitted>
tfim,early5,1100,1e-05,6,7,0.014876160656129737,<raw-result-omitted>
tfim,early5,1100,1e-05,7,8,0.015000214814054778,<raw-result-omitted>
tfim,early5,1100,1e-05,8,9,0.014945037970475276,<raw-result-omitted>
tfim,early5,1100,1e-05,9,10,0.015574592048372075,<raw-result-omitted>
tfim,early5,1100,1e-05,10,11,0.015150919530286447,<raw-result-omitted>
tfim,early5,1100,1e-05,11,12,0.015148844762850238,<raw-result-omitted>
tfim,early5,1100,1e-05,12,13,0.014795547285952322,<raw-result-omitted>
tfim,early5,1100,1e-05,13,14,0.015035710344368453,<raw-result-omitted>
tfim,early5,1100,1e-05,14,15,0.01499814985198374,<raw-result-omitted>
tfim,early5,1100,1e-05,15,16,0.014913026949038732,<raw-result-omitted>
tfim,early5,1100,1e-05,16,17,0.014605424405932155,<raw-result-omitted>
tfim,early5,1100,1e-05,17,18,0.015344435757840013,<raw-result-omitted>
tfim,early5,1100,1e-05,18,19,0.0145701968080489,<raw-result-omitted>
tfim,early5,1100,1e-05,19,20,0.015283648447218908,<raw-result-omitted>
tfim,early5,1100,0.0001,0,1,0.016624860628942757,<raw-result-omitted>
tfim,early5,1100,0.0001,1,2,0.016796988655091383,<raw-result-omitted>
tfim,early5,1100,0.0001,2,3,0.015933549489368447,<raw-result-omitted>
tfim,early5,1100,0.0001,3,4,0.01566842398451491,<raw-result-omitted>
tfim,early5,1100,0.0001,4,5,0.016092709724804206,<raw-result-omitted>
tfim,early5,1100,0.0001,5,6,0.016378027561647038,<raw-result-omitted>
tfim,early5,1100,0.0001,6,7,0.015796046665460674,<raw-result-omitted>
tfim,early5,1100,0.0001,7,8,0.015977185411411153,<raw-result-omitted>
tfim,early5,1100,0.0001,8,9,0.01616819728699432,<raw-result-omitted>
tfim,early5,1100,0.0001,9,10,0.016550082429644564,<raw-result-omitted>
tfim,early5,1100,0.0001,10,11,0.016088720803313687,<raw-result-omitted>
tfim,early5,1100,0.0001,11,12,0.01602845970839193,<raw-result-omitted>
tfim,early5,1100,0.0001,12,13,0.0160192407020725,<raw-result-omitted>
tfim,early5,1100,0.0001,13,14,0.015889291754421383,<raw-result-omitted>
tfim,early5,1100,0.0001,14,15,0.015969436342276044,<raw-result-omitted>
tfim,early5,1100,0.0001,15,16,0.015786911910280827,<raw-result-omitted>
tfim,early5,1100,0.0001,16,17,0.015623498701844115,<raw-result-omitted>
tfim,early5,1100,0.0001,17,18,0.016540643474248343,<raw-result-omitted>
tfim,early5,1100,0.0001,18,19,0.01560418955624205,<raw-result-omitted>
tfim,early5,1100,0.0001,19,20,0.016138184047992124,<raw-result-omitted>
tfim,early5,1100,0.001,0,1,0.01693179295477488,<raw-result-omitted>
tfim,early5,1100,0.001,1,2,0.01723114296115555,<raw-result-omitted>
tfim,early5,1100,0.001,2,3,0.01680282491419724,<raw-result-omitted>
tfim,early5,1100,0.001,3,4,0.016533148173174687,<raw-result-omitted>
tfim,early5,1100,0.001,4,5,0.016890941025819124,<raw-result-omitted>
tfim,early5,1100,0.001,5,6,0.01688344549581937,<raw-result-omitted>
tfim,early5,1100,0.001,6,7,0.016415769877843538,<raw-result-omitted>
tfim,early5,1100,0.001,7,8,0.01678769546224622,<raw-result-omitted>
tfim,early5,1100,0.001,8,9,0.016946177898330868,<raw-result-omitted>
tfim,early5,1100,0.001,9,10,0.017349557396522223,<raw-result-omitted>
tfim,early5,1100,0.001,10,11,0.01681733227370433,<raw-result-omitted>
tfim,early5,1100,0.001,11,12,0.016917045085980652,<raw-result-omitted>
tfim,early5,1100,0.001,12,13,0.016998527305355504,<raw-result-omitted>
tfim,early5,1100,0.001,13,14,0.01672177567318576,<raw-result-omitted>
tfim,early5,1100,0.001,14,15,0.0169458225500839,<raw-result-omitted>
tfim,early5,1100,0.001,15,16,0.01653734797020339,<raw-result-omitted>
tfim,early5,1100,0.001,16,17,0.016575094909512075,<raw-result-omitted>
tfim,early5,1100,0.001,17,18,0.017321784429918344,<raw-result-omitted>
tfim,early5,1100,0.001,18,19,0.01647481987266694,<raw-result-omitted>
tfim,early5,1100,0.001,19,20,0.016662976652876783,<raw-result-omitted>
tfim,early5,1100,0.01,0,1,0.017698000050033004,<raw-result-omitted>
tfim,early5,1100,0.01,1,2,0.017942430701206304,<raw-result-omitted>
tfim,early5,1100,0.01,2,3,0.017547816964640403,<raw-result-omitted>
tfim,early5,1100,0.01,3,4,0.01746197834366428,<raw-result-omitted>
tfim,early5,1100,0.01,4,5,0.01786019385576276,<raw-result-omitted>
tfim,early5,1100,0.01,5,6,0.017709220781965337,<raw-result-omitted>
tfim,early5,1100,0.01,6,7,0.01725568579217522,<raw-result-omitted>
tfim,early5,1100,0.01,7,8,0.017888107669902512,<raw-result-omitted>
tfim,early5,1100,0.01,8,9,0.017738379102891957,<raw-result-omitted>
tfim,early5,1100,0.01,9,10,0.018207490107681704,<raw-result-omitted>
tfim,early5,1100,0.01,10,11,0.01765741093290881,<raw-result-omitted>
tfim,early5,1100,0.01,11,12,0.017973660303412006,<raw-result-omitted>
tfim,early5,1100,0.01,12,13,0.017942937535956497,<raw-result-omitted>
tfim,early5,1100,0.01,13,14,0.01765427288060236,<raw-result-omitted>
tfim,early5,1100,0.01,14,15,0.017931332514055237,<raw-result-omitted>
tfim,early5,1100,0.01,15,16,0.017456369934884884,<raw-result-omitted>
tfim,early5,1100,0.01,16,17,0.017519370656036412,<raw-result-omitted>
tfim,early5,1100,0.01,17,18,0.017923845413987075,<raw-result-omitted>
tfim,early5,1100,0.01,18,19,0.01734257080885535,<raw-result-omitted>
tfim,early5,1100,0.01,19,20,0.017438411129935355,<raw-result-omitted>
tfim,early5,1100,0.1,0,1,0.01897906948690506,<raw-result-omitted>
tfim,early5,1100,0.1,1,2,0.019026259806489795,<raw-result-omitted>
tfim,early5,1100,0.1,2,3,0.01878118773019065,<raw-result-omitted>
tfim,early5,1100,0.1,3,4,0.01862145090920881,<raw-result-omitted>
tfim,early5,1100,0.1,4,5,0.018966854493482753,<raw-result-omitted>
tfim,early5,1100,0.1,5,6,0.019025858365480007,<raw-result-omitted>
tfim,early5,1100,0.1,6,7,0.018383949773858828,<raw-result-omitted>
tfim,early5,1100,0.1,7,8,0.019059405868282545,<raw-result-omitted>
tfim,early5,1100,0.1,8,9,0.01878824307648455,<raw-result-omitted>
tfim,early5,1100,0.1,9,10,0.019275442119958634,<raw-result-omitted>
tfim,early5,1100,0.1,10,11,0.018530069053189928,<raw-result-omitted>
tfim,early5,1100,0.1,11,12,0.019174487566642667,<raw-result-omitted>
tfim,early5,1100,0.1,12,13,0.01903746465404215,<raw-result-omitted>
tfim,early5,1100,0.1,13,14,0.018661345002273323,<raw-result-omitted>
tfim,early5,1100,0.1,14,15,0.018794694388713486,<raw-result-omitted>
tfim,early5,1100,0.1,15,16,0.01861504192406141,<raw-result-omitted>
tfim,early5,1100,0.1,16,17,0.01881763646813257,<raw-result-omitted>
tfim,early5,1100,0.1,17,18,0.018836663255728935,<raw-result-omitted>
tfim,early5,1100,0.1,18,19,0.018492010560922596,<raw-result-omitted>
tfim,early5,1100,0.1,19,20,0.018585554285554952,<raw-result-omitted>
tfim,early5,1200,1e-08,0,1,0.015977659380323386,<raw-result-omitted>
tfim,early5,1200,1e-08,1,2,0.015731879153999196,<raw-result-omitted>
tfim,early5,1200,1e-08,2,3,0.015596813378472503,<raw-result-omitted>
tfim,early5,1200,1e-08,3,4,0.015200997242528427,<raw-result-omitted>
tfim,early5,1200,1e-08,4,5,0.015636058454180146,<raw-result-omitted>
tfim,early5,1200,1e-08,5,6,0.015326251641227428,<raw-result-omitted>
tfim,early5,1200,1e-08,6,7,0.014808202139460507,<raw-result-omitted>
tfim,early5,1200,1e-08,7,8,0.015189451352371696,<raw-result-omitted>
tfim,early5,1200,1e-08,8,9,0.015425219136129698,<raw-result-omitted>
tfim,early5,1200,1e-08,9,10,0.014214493307221337,<raw-result-omitted>
tfim,early5,1200,1e-08,10,11,0.015174428789467426,<raw-result-omitted>
tfim,early5,1200,1e-08,11,12,0.014531886254323565,<raw-result-omitted>
tfim,early5,1200,1e-08,12,13,0.015373305481319495,<raw-result-omitted>
tfim,early5,1200,1e-08,13,14,0.015153620274110144,<raw-result-omitted>
tfim,early5,1200,1e-08,14,15,0.01547708197177673,<raw-result-omitted>
tfim,early5,1200,1e-08,15,16,0.015405670928114514,<raw-result-omitted>
tfim,early5,1200,1e-08,16,17,0.01514385738476244,<raw-result-omitted>
tfim,early5,1200,1e-08,17,18,0.016256824896598944,<raw-result-omitted>
tfim,early5,1200,1e-08,18,19,0.015112228756779547,<raw-result-omitted>
tfim,early5,1200,1e-08,19,20,0.015193367031820563,<raw-result-omitted>
tfim,early5,1200,1e-07,0,1,0.01531614862829076,<raw-result-omitted>
tfim,early5,1200,1e-07,1,2,0.015205553338405679,<raw-result-omitted>
tfim,early5,1200,1e-07,2,3,0.015045457210488038,<raw-result-omitted>
tfim,early5,1200,1e-07,3,4,0.014659205328490698,<raw-result-omitted>
tfim,early5,1200,1e-07,4,5,0.015037465209382702,<raw-result-omitted>
tfim,early5,1200,1e-07,5,6,0.0147501554116802,<raw-result-omitted>
tfim,early5,1200,1e-07,6,7,0.014332424936875782,<raw-result-omitted>
tfim,early5,1200,1e-07,7,8,0.014834843100426775,<raw-result-omitted>
tfim,early5,1200,1e-07,8,9,0.014971455435251274,<raw-result-omitted>
tfim,early5,1200,1e-07,9,10,0.013784538481331602,<raw-result-omitted>
tfim,early5,1200,1e-07,10,11,0.014722382720522743,<raw-result-omitted>
tfim,early5,1200,1e-07,11,12,0.014070661837665342,<raw-result-omitted>
tfim,early5,1200,1e-07,12,13,0.01497061543864046,<raw-result-omitted>
tfim,early5,1200,1e-07,13,14,0.014730252622146929,<raw-result-omitted>
tfim,early5,1200,1e-07,14,15,0.014986986457776245,<raw-result-omitted>
tfim,early5,1200,1e-07,15,16,0.015052711878768143,<raw-result-omitted>
tfim,early5,1200,1e-07,16,17,0.01464501289428264,<raw-result-omitted>
tfim,early5,1200,1e-07,17,18,0.01579971756450263,<raw-result-omitted>
tfim,early5,1200,1e-07,18,19,0.014854875781904073,<raw-result-omitted>
tfim,early5,1200,1e-07,19,20,0.014653726462039954,<raw-result-omitted>
tfim,early5,1200,1e-06,0,1,0.013055934854820343,<raw-result-omitted>
tfim,early5,1200,1e-06,1,2,0.013008531455346015,<raw-result-omitted>
tfim,early5,1200,1e-06,2,3,0.013020424585046937,<raw-result-omitted>
tfim,early5,1200,1e-06,3,4,0.012659113004377375,<raw-result-omitted>
tfim,early5,1200,1e-06,4,5,0.012977221970980737,<raw-result-omitted>
tfim,early5,1200,1e-06,5,6,0.012560849505442086,<raw-result-omitted>
tfim,early5,1200,1e-06,6,7,0.012564550580414207,<raw-result-omitted>
tfim,early5,1200,1e-06,7,8,0.013002783753902847,<raw-result-omitted>
tfim,early5,1200,1e-06,8,9,0.012917518533401732,<raw-result-omitted>
tfim,early5,1200,1e-06,9,10,0.012182037269424123,<raw-result-omitted>
tfim,early5,1200,1e-06,10,11,0.012770965457932083,<raw-result-omitted>
tfim,early5,1200,1e-06,11,12,0.012281310916900538,<raw-result-omitted>
tfim,early5,1200,1e-06,12,13,0.012990591734947356,<raw-result-omitted>
tfim,early5,1200,1e-06,13,14,0.012866751209367394,<raw-result-omitted>
tfim,early5,1200,1e-06,14,15,0.012847471593044411,<raw-result-omitted>
tfim,early5,1200,1e-06,15,16,0.013136913821605688,<raw-result-omitted>
tfim,early5,1200,1e-06,16,17,0.01280310978828603,<raw-result-omitted>
tfim,early5,1200,1e-06,17,18,0.013549159317052565,<raw-result-omitted>
tfim,early5,1200,1e-06,18,19,0.012868283457590935,<raw-result-omitted>
tfim,early5,1200,1e-06,19,20,0.01272591781018444,<raw-result-omitted>
tfim,early5,1200,1e-05,0,1,0.013495586429602673,<raw-result-omitted>
tfim,early5,1200,1e-05,1,2,0.01357666208127967,<raw-result-omitted>
tfim,early5,1200,1e-05,2,3,0.013717748325108654,<raw-result-omitted>
tfim,early5,1200,1e-05,3,4,0.013327506274785352,<raw-result-omitted>
tfim,early5,1200,1e-05,4,5,0.01358098560038501,<raw-result-omitted>
tfim,early5,1200,1e-05,5,6,0.013304957211799421,<raw-result-omitted>
tfim,early5,1200,1e-05,6,7,0.013361073872995675,<raw-result-omitted>
tfim,early5,1200,1e-05,7,8,0.013535750915118062,<raw-result-omitted>
tfim,early5,1200,1e-05,8,9,0.013718926460054185,<raw-result-omitted>
tfim,early5,1200,1e-05,9,10,0.013227873025118948,<raw-result-omitted>
tfim,early5,1200,1e-05,10,11,0.013491074844858921,<raw-result-omitted>
tfim,early5,1200,1e-05,11,12,0.01310253956515347,<raw-result-omitted>
tfim,early5,1200,1e-05,12,13,0.013669071483832153,<raw-result-omitted>
tfim,early5,1200,1e-05,13,14,0.013583520869318834,<raw-result-omitted>
tfim,early5,1200,1e-05,14,15,0.013359229360133274,<raw-result-omitted>
tfim,early5,1200,1e-05,15,16,0.013585809211558057,<raw-result-omitted>
tfim,early5,1200,1e-05,16,17,0.013732468350200111,<raw-result-omitted>
tfim,early5,1200,1e-05,17,18,0.013862701660332172,<raw-result-omitted>
tfim,early5,1200,1e-05,18,19,0.013136764343201372,<raw-result-omitted>
tfim,early5,1200,1e-05,19,20,0.013276471455528164,<raw-result-omitted>
tfim,early5,1200,0.0001,0,1,0.0142391288881131,<raw-result-omitted>
tfim,early5,1200,0.0001,1,2,0.014445015382957373,<raw-result-omitted>
tfim,early5,1200,0.0001,2,3,0.014336578002135114,<raw-result-omitted>
tfim,early5,1200,0.0001,3,4,0.014274764818467737,<raw-result-omitted>
tfim,early5,1200,0.0001,4,5,0.014443371315301396,<raw-result-omitted>
tfim,early5,1200,0.0001,5,6,0.01442891668638439,<raw-result-omitted>
tfim,early5,1200,0.0001,6,7,0.014250099534835081,<raw-result-omitted>
tfim,early5,1200,0.0001,7,8,0.014511888015183775,<raw-result-omitted>
tfim,early5,1200,0.0001,8,9,0.014526331234647123,<raw-result-omitted>
tfim,early5,1200,0.0001,9,10,0.014229707936647067,<raw-result-omitted>
tfim,early5,1200,0.0001,10,11,0.014610769657778758,<raw-result-omitted>
tfim,early5,1200,0.0001,11,12,0.014074140430164075,<raw-result-omitted>
tfim,early5,1200,0.0001,12,13,0.014488043157920936,<raw-result-omitted>
tfim,early5,1200,0.0001,13,14,0.014514754689239663,<raw-result-omitted>
tfim,early5,1200,0.0001,14,15,0.01430184364150319,<raw-result-omitted>
tfim,early5,1200,0.0001,15,16,0.014361011899659895,<raw-result-omitted>
tfim,early5,1200,0.0001,16,17,0.014472292071226772,<raw-result-omitted>
tfim,early5,1200,0.0001,17,18,0.014471933665590646,<raw-result-omitted>
tfim,early5,1200,0.0001,18,19,0.013951135185406653,<raw-result-omitted>
tfim,early5,1200,0.0001,19,20,0.014249574320130506,<raw-result-omitted>
tfim,early5,1200,0.001,0,1,0.015078317104397042,<raw-result-omitted>
tfim,early5,1200,0.001,1,2,0.014912572924368086,<raw-result-omitted>
tfim,early5,1200,0.001,2,3,0.014844578677483518,<raw-result-omitted>
tfim,early5,1200,0.001,3,4,0.014988137079020813,<raw-result-omitted>
tfim,early5,1200,0.001,4,5,0.015090472631312413,<raw-result-omitted>
tfim,early5,1200,0.001,5,6,0.01535012388944763,<raw-result-omitted>
tfim,early5,1200,0.001,6,7,0.015037207723525285,<raw-result-omitted>
tfim,early5,1200,0.001,7,8,0.015468688758146384,<raw-result-omitted>
tfim,early5,1200,0.001,8,9,0.01499625996794032,<raw-result-omitted>
tfim,early5,1200,0.001,9,10,0.014751440709572985,<raw-result-omitted>
tfim,early5,1200,0.001,10,11,0.01541335988113,<raw-result-omitted>
tfim,early5,1200,0.001,11,12,0.014816191504327244,<raw-result-omitted>
tfim,early5,1200,0.001,12,13,0.014877118958777441,<raw-result-omitted>
tfim,early5,1200,0.001,13,14,0.015316137240394911,<raw-result-omitted>
tfim,early5,1200,0.001,14,15,0.014825289129400943,<raw-result-omitted>
tfim,early5,1200,0.001,15,16,0.01515418188429737,<raw-result-omitted>
tfim,early5,1200,0.001,16,17,0.01486345014474986,<raw-result-omitted>
tfim,early5,1200,0.001,17,18,0.015070959660779941,<raw-result-omitted>
tfim,early5,1200,0.001,18,19,0.014776065075870547,<raw-result-omitted>
tfim,early5,1200,0.001,19,20,0.01511942348172076,<raw-result-omitted>
tfim,early5,1200,0.01,0,1,0.01590041116678969,<raw-result-omitted>
tfim,early5,1200,0.01,1,2,0.015424775952112162,<raw-result-omitted>
tfim,early5,1200,0.01,2,3,0.015603103469693633,<raw-result-omitted>
tfim,early5,1200,0.01,3,4,0.015696577549299005,<raw-result-omitted>
tfim,early5,1200,0.01,4,5,0.01561631250751931,<raw-result-omitted>
tfim,early5,1200,0.01,5,6,0.015950607522190834,<raw-result-omitted>
tfim,early5,1200,0.01,6,7,0.015850201166543256,<raw-result-omitted>
tfim,early5,1200,0.01,7,8,0.01610700106118752,<raw-result-omitted>
tfim,early5,1200,0.01,8,9,0.015725497145242216,<raw-result-omitted>
tfim,early5,1200,0.01,9,10,0.015401938201911691,<raw-result-omitted>
tfim,early5,1200,0.01,10,11,0.015984917460731465,<raw-result-omitted>
tfim,early5,1200,0.01,11,12,0.015284501063856164,<raw-result-omitted>
tfim,early5,1200,0.01,12,13,0.015597003694452086,<raw-result-omitted>
tfim,early5,1200,0.01,13,14,0.015919369597404084,<raw-result-omitted>
tfim,early5,1200,0.01,14,15,0.015379290218215741,<raw-result-omitted>
tfim,early5,1200,0.01,15,16,0.01591904626000082,<raw-result-omitted>
tfim,early5,1200,0.01,16,17,0.015550496118093622,<raw-result-omitted>
tfim,early5,1200,0.01,17,18,0.015725323036267967,<raw-result-omitted>
tfim,early5,1200,0.01,18,19,0.01560728514541203,<raw-result-omitted>
tfim,early5,1200,0.01,19,20,0.015847784407243395,<raw-result-omitted>
tfim,early5,1200,0.1,0,1,0.016605558027441937,<raw-result-omitted>
tfim,early5,1200,0.1,1,2,0.016492159733562606,<raw-result-omitted>
tfim,early5,1200,0.1,2,3,0.016638715959562796,<raw-result-omitted>
tfim,early5,1200,0.1,3,4,0.016386020085325224,<raw-result-omitted>
tfim,early5,1200,0.1,4,5,0.01643007087651433,<raw-result-omitted>
tfim,early5,1200,0.1,5,6,0.01640946980931422,<raw-result-omitted>
tfim,early5,1200,0.1,6,7,0.016867978853448796,<raw-result-omitted>
tfim,early5,1200,0.1,7,8,0.01683268796597178,<raw-result-omitted>
tfim,early5,1200,0.1,8,9,0.016784802623619248,<raw-result-omitted>
tfim,early5,1200,0.1,9,10,0.01630180555069903,<raw-result-omitted>
tfim,early5,1200,0.1,10,11,0.016711244529762234,<raw-result-omitted>
tfim,early5,1200,0.1,11,12,0.016167497838792344,<raw-result-omitted>
tfim,early5,1200,0.1,12,13,0.01668978176717572,<raw-result-omitted>
tfim,early5,1200,0.1,13,14,0.016598756796162514,<raw-result-omitted>
tfim,early5,1200,0.1,14,15,0.016523086455428937,<raw-result-omitted>
tfim,early5,1200,0.1,15,16,0.016650590957119467,<raw-result-omitted>
tfim,early5,1200,0.1,16,17,0.01641656104767613,<raw-result-omitted>
tfim,early5,1200,0.1,17,18,0.016559196284437132,<raw-result-omitted>
tfim,early5,1200,0.1,18,19,0.01657767223604262,<raw-result-omitted>
tfim,early5,1200,0.1,19,20,0.016533546419408532,<raw-result-omitted>
tfim,early5,1300,1e-08,0,1,0.013917493812709323,<raw-result-omitted>
tfim,early5,1300,1e-08,1,2,0.0133605964972063,<raw-result-omitted>
tfim,early5,1300,1e-08,2,3,0.013600260416085013,<raw-result-omitted>
tfim,early5,1300,1e-08,3,4,0.013486920153119374,<raw-result-omitted>
tfim,early5,1300,1e-08,4,5,0.013901066830090847,<raw-result-omitted>
tfim,early5,1300,1e-08,5,6,0.012957556944932704,<raw-result-omitted>
tfim,early5,1300,1e-08,6,7,0.013240958182195405,<raw-result-omitted>
tfim,early5,1300,1e-08,7,8,0.01328395813673306,<raw-result-omitted>
tfim,early5,1300,1e-08,8,9,0.013595634855347687,<raw-result-omitted>
tfim,early5,1300,1e-08,9,10,0.013319472564820248,<raw-result-omitted>
tfim,early5,1300,1e-08,10,11,0.012802154853602438,<raw-result-omitted>
tfim,early5,1300,1e-08,11,12,0.013285902106245105,<raw-result-omitted>
tfim,early5,1300,1e-08,12,13,0.013623295475455635,<raw-result-omitted>
tfim,early5,1300,1e-08,13,14,0.014041137699968915,<raw-result-omitted>
tfim,early5,1300,1e-08,14,15,0.013730478889601924,<raw-result-omitted>
tfim,early5,1300,1e-08,15,16,0.013528998856625818,<raw-result-omitted>
tfim,early5,1300,1e-08,16,17,0.014113773695292434,<raw-result-omitted>
tfim,early5,1300,1e-08,17,18,0.013608242032859718,<raw-result-omitted>
tfim,early5,1300,1e-08,18,19,0.0133574409099697,<raw-result-omitted>
tfim,early5,1300,1e-08,19,20,0.013555482808441682,<raw-result-omitted>
tfim,early5,1300,1e-07,0,1,0.013509465495258256,<raw-result-omitted>
tfim,early5,1300,1e-07,1,2,0.012964811827122478,<raw-result-omitted>
tfim,early5,1300,1e-07,2,3,0.013149359897502613,<raw-result-omitted>
tfim,early5,1300,1e-07,3,4,0.013023813919526648,<raw-result-omitted>
tfim,early5,1300,1e-07,4,5,0.013579473604777537,<raw-result-omitted>
tfim,early5,1300,1e-07,5,6,0.012681178289264756,<raw-result-omitted>
tfim,early5,1300,1e-07,6,7,0.012793383438607416,<raw-result-omitted>
tfim,early5,1300,1e-07,7,8,0.012942282302160157,<raw-result-omitted>
tfim,early5,1300,1e-07,8,9,0.013157496566677607,<raw-result-omitted>
tfim,early5,1300,1e-07,9,10,0.012966262802480588,<raw-result-omitted>
tfim,early5,1300,1e-07,10,11,0.012506444198709476,<raw-result-omitted>
tfim,early5,1300,1e-07,11,12,0.012853357820740537,<raw-result-omitted>
tfim,early5,1300,1e-07,12,13,0.013187848196940787,<raw-result-omitted>
tfim,early5,1300,1e-07,13,14,0.013577555644103841,<raw-result-omitted>
tfim,early5,1300,1e-07,14,15,0.013209619100803547,<raw-result-omitted>
tfim,early5,1300,1e-07,15,16,0.013216139238132463,<raw-result-omitted>
tfim,early5,1300,1e-07,16,17,0.01380173725631621,<raw-result-omitted>
tfim,early5,1300,1e-07,17,18,0.013154540345095857,<raw-result-omitted>
tfim,early5,1300,1e-07,18,19,0.012890458534678809,<raw-result-omitted>
tfim,early5,1300,1e-07,19,20,0.013289208906837689,<raw-result-omitted>
